,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dificuldade,dicas,tempo,nos_visitados,profundidade_maxima,total_podas,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1170,Suguru-1170,8x8,64,14,4.571428571428571,3,7,0.11947790900012478,32,12,263,11,True,167,31,24,28,10,3
8x8_Suguru-1191,Suguru-1191,8x8,64,15,4.266666666666667,3,5,0.544061643999612,159,13,2411,96,True,1683,253,118,168,147,42
8x8_Suguru-1302,Suguru-1302,8x8,64,15,4.266666666666667,3,7,1.662522817000081,447,14,7402,318,True,4895,798,558,558,519,74
8x8_Suguru-1353,Suguru-1353,8x8,64,13,4.923076923076923,3,12,0.7548695899999984,193,16,2164,133,True,1579,239,100,106,100,40
8x8_Suguru-1410,Suguru-1410,8x8,64,13,4.923076923076923,3,12,0.4606323530001646,149,16,1227,89,True,863,158,88,107,5,6
8x8_Suguru-1411,Suguru-1411,8x8,64,15,4.266666666666667,3,9,0.07558557899983498,25,13,315,5,True,223,24,16,37,15,0
8x8_Suguru-1451,Suguru-1451,8x8,64,15,4.266666666666667,3,11,0.19490523700005724,53,10,1104,25,True,671,118,156,97,34,28
8x8_Suguru-1505,Suguru-1505,8x8,64,13,4.923076923076923,3,10,0.037898710000263236,14,12,99,0,True,63,15,3,8,10,0
8x8_Suguru-1542,Suguru-1542,8x8,64,14,4.571428571428571,3,10,0.0720234530003836,19,6,359,6,True,226,45,21,47,17,3
8x8_Suguru-1552,Suguru-1552,8x8,64,14,4.571428571428571,3,11,0.18906041399986862,58,12,865,26,True,617,139,14,72,13,10
8x8_Suguru-1560,Suguru-1560,8x8,64,14,4.571428571428571,3,8,0.14175511699977505,35,15,567,13,True,355,56,24,102,28,2
8x8_Suguru-12,Suguru-12,8x8,64,13,4.923076923076923,2,11,0.15656296199995268,50,12,465,21,True,300,64,49,16,9,27
8x8_Suguru-41,Suguru-41,8x8,64,15,4.266666666666667,3,9,0.03979567300029885,16,13,148,1,True,99,19,8,16,6,0
8x8_Suguru-50,Suguru-50,8x8,64,15,4.266666666666667,3,6,4.104049310999926,1218,22,16969,848,True,12728,1989,478,1509,195,70
8x8_Suguru-74,Suguru-74,8x8,64,14,4.571428571428571,3,11,0.3729218330004187,108,14,1162,63,True,724,154,75,106,60,43
8x8_Suguru-181,Suguru-181,8x8,64,14,4.571428571428571,3,12,0.19653236199974344,59,9,1045,33,True,783,86,40,68,60,8
8x8_Suguru-204,Suguru-204,8x8,64,15,4.266666666666667,3,10,0.060379215000011754,20,7,345,8,True,245,51,16,22,6,5
8x8_Suguru-238,Suguru-238,8x8,64,14,4.571428571428571,3,10,0.025825359000009485,9,8,68,0,True,49,8,2,6,2,1
8x8_Suguru-240,Suguru-240,8x8,64,14,4.571428571428571,3,11,0.03294850000020233,8,5,173,1,True,83,21,22,25,18,4
8x8_Suguru-369,Suguru-369,8x8,64,13,4.923076923076923,3,12,0.03497321800023201,11,8,103,0,True,69,17,10,6,1,0
8x8_Suguru-390,Suguru-390,8x8,64,14,4.571428571428571,3,10,0.019610517999808508,6,6,60,0,True,33,15,6,5,0,1
8x8_Suguru-433,Suguru-433,8x8,64,13,4.923076923076923,3,12,0.1369527140000173,38,10,469,15,True,316,44,35,44,27,3
8x8_Suguru-482,Suguru-482,8x8,64,14,4.571428571428571,3,8,0.021736492000400176,6,5,84,0,True,61,14,2,7,0,0
8x8_Suguru-522,Suguru-522,8x8,64,14,4.571428571428571,3,10,0.13044854800000394,37,11,727,15,True,421,95,105,56,26,24
8x8_Suguru-551,Suguru-551,8x8,64,15,4.266666666666667,3,8,0.05701326500002324,16,9,322,3,True,227,31,8,28,27,1
8x8_Suguru-582,Suguru-582,8x8,64,14,4.571428571428571,3,9,0.3301885749997382,113,14,988,57,True,618,65,160,77,18,50
8x8_Suguru-597,Suguru-597,8x8,64,15,4.266666666666667,3,6,0.23927230900017094,63,8,1148,32,True,613,153,121,186,75,0
8x8_Suguru-636,Suguru-636,8x8,64,14,4.571428571428571,3,9,0.05958057599991662,15,7,223,5,True,149,37,14,20,3,0
8x8_Suguru-638,Suguru-638,8x8,64,15,4.266666666666667,3,12,0.017552576000070985,4,3,98,0,True,66,15,5,11,1,0
8x8_Suguru-658,Suguru-658,8x8,64,14,4.571428571428571,3,13,0.02206448399965666,6,5,66,0,True,44,15,0,4,3,0
8x8_Suguru-683,Suguru-683,8x8,64,14,4.571428571428571,3,6,0.10707094899998992,36,10,397,18,True,249,53,28,61,3,3
8x8_Suguru-707,Suguru-707,8x8,64,14,4.571428571428571,3,10,0.050295874000312324,14,4,181,6,True,132,24,6,19,0,0
8x8_Suguru-709,Suguru-709,8x8,64,14,4.571428571428571,3,16,0.08274628000026496,23,6,183,10,True,123,27,21,11,0,1
8x8_Suguru-744,Suguru-744,8x8,64,13,4.923076923076923,3,10,0.26779750300011074,76,12,1039,37,True,654,144,87,126,14,14
8x8_Suguru-756,Suguru-756,8x8,64,14,4.571428571428571,3,11,0.1700129390001166,45,10,652,23,True,385,43,70,78,46,30
8x8_Suguru-758,Suguru-758,8x8,64,14,4.571428571428571,2,10,0.07594905699988885,21,7,313,9,True,218,42,19,22,3,9
