,id,tabuleiro,size,numero_regioes,tamanho_medio_regiao,dicas,tempo,backtracks,resolvido,assign_from_singletons,hidden_single,naked_pairs,hidden_pairs,naked_triples,hidden_triples
8x8_Suguru-1597,Suguru-1597,8x8,64,14,4.571428571428571,9,0.12255532800190849,9,True,551,142,26,127,128,30
8x8_Suguru-1,Suguru-1,8x8,64,15,4.266666666666667,7,0.22422771199853742,24,True,370,149,24,182,43,26
8x8_Suguru-82,Suguru-82,8x8,64,14,4.571428571428571,8,0.20492441999886069,15,True,733,188,152,162,52,50
8x8_Suguru-84,Suguru-84,8x8,64,14,4.571428571428571,10,0.03031475899842917,1,True,77,32,8,13,10,0
8x8_Suguru-104,Suguru-104,8x8,64,14,4.571428571428571,10,0.07345182400240446,7,True,198,39,6,21,6,13
8x8_Suguru-121,Suguru-121,8x8,64,14,4.571428571428571,10,0.02228156300043338,0,True,36,10,6,1,1,0
8x8_Suguru-209,Suguru-209,8x8,64,14,4.571428571428571,11,0.10953118500037817,14,True,229,49,17,33,15,12
8x8_Suguru-219,Suguru-219,8x8,64,14,4.571428571428571,9,0.020181987001706148,0,True,79,24,15,19,7,0
8x8_Suguru-262,Suguru-262,8x8,64,14,4.571428571428571,7,0.5294975159995374,48,True,1796,371,483,576,154,15
8x8_Suguru-340,Suguru-340,8x8,64,14,4.571428571428571,10,0.44528975099819945,51,True,1584,212,304,271,155,23
8x8_Suguru-405,Suguru-405,8x8,64,14,4.571428571428571,9,0.025859344001219142,0,True,98,21,19,23,12,3
8x8_Suguru-408,Suguru-408,8x8,64,14,4.571428571428571,8,0.0316489430006186,0,True,113,37,36,17,1,0
8x8_Suguru-428,Suguru-428,8x8,64,14,4.571428571428571,9,0.03915270200013765,1,True,82,17,4,5,2,1
8x8_Suguru-560,Suguru-560,8x8,64,14,4.571428571428571,7,0.12122277000162285,15,True,316,95,17,77,26,18
8x8_Suguru-623,Suguru-623,8x8,64,14,4.571428571428571,12,0.022349361999658868,0,True,43,9,7,11,2,0
8x8_Suguru-677,Suguru-677,8x8,64,14,4.571428571428571,7,0.03705741700105136,1,True,65,21,16,6,6,6
8x8_Suguru-681,Suguru-681,8x8,64,14,4.571428571428571,8,0.34582305699950666,28,True,883,165,130,152,147,30
8x8_Suguru-805,Suguru-805,8x8,64,14,4.571428571428571,9,0.0918377470006817,9,True,233,60,28,29,7,0
8x8_Suguru-916,Suguru-916,8x8,64,15,4.266666666666667,8,0.0742754929997318,3,True,173,50,50,49,19,0
8x8_Suguru-1048,Suguru-1048,8x8,64,15,4.266666666666667,8,0.029616282001370564,0,True,62,26,4,10,11,4
8x8_Suguru-1053,Suguru-1053,8x8,64,13,4.923076923076923,13,0.12992872200265992,11,True,425,89,55,62,23,2
8x8_Suguru-1075,Suguru-1075,8x8,64,14,4.571428571428571,12,0.044051903001673054,3,True,157,33,22,26,6,6
8x8_Suguru-1092,Suguru-1092,8x8,64,14,4.571428571428571,10,0.28225094599838485,42,True,946,162,50,123,32,9
8x8_Suguru-1103,Suguru-1103,8x8,64,13,4.923076923076923,9,0.033666491999611026,1,True,106,32,6,20,14,0
8x8_Suguru-1104,Suguru-1104,8x8,64,15,4.266666666666667,8,0.016138060000230325,0,True,57,15,4,14,3,0
8x8_Suguru-1118,Suguru-1118,8x8,64,13,4.923076923076923,7,0.3989075059980678,47,True,1267,264,23,254,44,3
8x8_Suguru-1125,Suguru-1125,8x8,64,15,4.266666666666667,7,0.07237849100056337,4,True,190,58,27,40,28,18
8x8_Suguru-1151,Suguru-1151,8x8,64,13,4.923076923076923,9,0.05887483100013924,2,True,147,33,65,45,17,0
8x8_Suguru-1153,Suguru-1153,8x8,64,14,4.571428571428571,9,0.052181226998072816,5,True,101,30,10,14,5,0
8x8_Suguru-1169,Suguru-1169,8x8,64,14,4.571428571428571,8,0.05509358799827169,2,True,122,45,2,17,5,4
8x8_Suguru-1186,Suguru-1186,8x8,64,13,4.923076923076923,9,0.4252365930005908,38,True,1198,287,60,235,274,22
8x8_Suguru-1256,Suguru-1256,8x8,64,13,4.923076923076923,9,0.515961082001013,53,True,1410,356,416,468,165,117
8x8_Suguru-1413,Suguru-1413,8x8,64,14,4.571428571428571,11,0.03385126600187505,2,True,71,25,10,3,13,15
8x8_Suguru-1414,Suguru-1414,8x8,64,14,4.571428571428571,8,0.046362771001440706,3,True,142,31,9,11,21,2
8x8_Suguru-1525,Suguru-1525,8x8,64,14,4.571428571428571,9,0.14419217899921932,12,True,500,79,53,109,83,26
8x8_Suguru-6,Suguru-6,8x8,64,13,4.923076923076923,11,0.021737582002970157,0,True,49,14,6,5,7,0
8x8_Suguru-93,Suguru-93,8x8,64,15,4.266666666666667,5,0.029824664998159278,1,True,58,13,13,5,9,0
8x8_Suguru-132,Suguru-132,8x8,64,14,4.571428571428571,8,0.06684802099698572,6,True,130,49,26,45,14,0
8x8_Suguru-198,Suguru-198,8x8,64,14,4.571428571428571,8,0.18447059000027366,18,True,600,131,146,153,110,49
8x8_Suguru-286,Suguru-286,8x8,64,14,4.571428571428571,8,0.09546866500022588,3,True,335,116,77,110,41,16
8x8_Suguru-307,Suguru-307,8x8,64,14,4.571428571428571,8,0.041544783001882024,1,True,139,44,10,27,6,35
8x8_Suguru-327,Suguru-327,8x8,64,14,4.571428571428571,8,0.04229408999890438,3,True,82,20,2,3,0,0
8x8_Suguru-391,Suguru-391,8x8,64,13,4.923076923076923,10,0.039034293997247005,3,True,88,20,2,12,17,4
8x8_Suguru-448,Suguru-448,8x8,64,15,4.266666666666667,8,0.02670538399979705,0,True,44,16,2,7,0,3
8x8_Suguru-495,Suguru-495,8x8,64,14,4.571428571428571,10,0.2840459520011791,25,True,1024,233,90,198,61,77
8x8_Suguru-536,Suguru-536,8x8,64,14,4.571428571428571,8,0.5487756690017704,57,True,1947,318,214,416,259,74
8x8_Suguru-612,Suguru-612,8x8,64,14,4.571428571428571,10,0.11468213899934199,18,True,488,68,119,24,5,0
8x8_Suguru-648,Suguru-648,8x8,64,14,4.571428571428571,8,0.10527375799938454,8,True,304,64,25,44,25,4
